date,equity,cash,market_value,benchmark,daily_return
2026-01-07,1292562.1582852153,38319.15828521529,1254243.0,4776.6658,-0.005009737125045377
2026-01-08,1305365.1582852153,38319.15828521529,1267046.0,4737.6536,0.009905132931467886
2026-01-09,1320177.1582852153,38319.15828521529,1281858.0,4758.9221,0.01134701650797676
2026-01-12,1351099.1582852153,38319.15828521529,1312780.0,4789.9155,0.02342261400747514
2026-01-13,1320673.1582852153,38319.15828521529,1282354.0,4761.0324,-0.022519442642992993
2026-01-14,1363417.1582852153,38319.15828521529,1325098.0,4741.9306,0.032365312895053844
2026-01-15,1350860.1582852153,38319.15828521529,1312541.0,4751.4293,-0.009209947171116006
2026-01-16,1361790.1582852153,38319.15828521529,1323471.0,4731.8728,0.008091140991140389
2026-01-19,1374190.1582852153,38319.15828521529,1335871.0,4734.4556,0.009105661341842985
2026-01-20,1350654.1582852153,38319.15828521529,1312335.0,4718.8782,-0.017127178402565058
2026-01-21,1412478.1582852153,38319.15828521529,1374159.0,4723.0692,0.04577337553122507
2026-01-22,1427494.1582852153,38319.15828521529,1389175.0,4723.7091,0.010630960848435178
2026-01-23,1440633.1582852153,38319.15828521529,1402314.0,4702.4966,0.00920424081859883
2026-01-26,1423986.1582852153,38319.15828521529,1385667.0,4706.964,-0.01155533586344415
2026-01-27,1451480.1582852153,38319.15828521529,1413161.0,4705.6918,0.019307771947101315
2026-01-28,1446215.1582852153,38319.15828521529,1407896.0,4717.9914,-0.0036273317068420408
2026-01-29,1414628.1582852153,38319.15828521529,1376309.0,4753.8697,-0.021841148475758576
2026-01-30,1428486.1582852153,38319.15828521529,1390167.0,4706.3401,0.009796213880542526
2026-02-02,1406557.3637777304,44791.3637777303,1361766.0,4605.9799,-0.015351072448478331
2026-02-03,1452049.3637777304,44791.3637777303,1407258.0,4660.1074,0.03234279750796487
2026-02-04,1424192.3637777304,44791.3637777303,1379401.0,4698.6832,-0.01918460948705336
2026-02-05,1409227.3637777304,44791.3637777303,1364436.0,4670.4188,-0.010507709759308592
2026-02-06,1423416.3637777304,44791.3637777303,1378625.0,4643.5959,0.010068637868316355
2026-02-09,1475598.3637777304,44791.3637777303,1430807.0,4719.0559,0.036659688147401726
2026-02-10,1482667.3637777304,44791.3637777303,1437876.0,4724.2956,0.004790598968883675
2026-02-11,1495708.3637777304,44791.3637777303,1450917.0,4713.8185,0.008795634353731652
2026-02-12,1529522.3637777304,44791.3637777303,1484731.0,4719.578,0.02260734834335998
2026-02-13,1513834.3637777304,44791.3637777303,1469043.0,4660.4056,-0.010256796743561503
2026-02-24,1510168.3637777304,44791.3637777303,1465377.0,4707.544,-0.0024216652017672313
2026-02-25,1517068.3637777304,44791.3637777303,1472277.0,4735.8858,0.00456902698103101
2026-02-26,1538558.3637777304,44791.3637777303,1493767.0,4726.8739,0.014165478967926415
2026-02-27,1545711.3637777304,44791.3637777303,1500920.0,4710.6469,0.004649157398512127
2026-03-02,1529813.9474068703,50860.947406870284,1478953.0,4728.6688,-0.010284854432335067
2026-03-03,1460512.9474068703,50860.947406870284,1409652.0,4655.8962,-0.045300279891858364
2026-03-04,1436000.9474068703,50860.947406870284,1385140.0,4602.6247,-0.01678314460924213
2026-03-05,1472858.9474068703,50860.947406870284,1421998.0,4647.6921,0.02566711398523669
2026-03-06,1489928.9474068703,50860.947406870284,1439068.0,4660.439,0.011589704519943123
2026-03-09,1516989.9474068703,50860.947406870284,1466129.0,4615.4551,0.01816261107423811
2026-03-10,1562613.9474068703,50860.947406870284,1511753.0,4674.7562,0.030075347617160686
2026-03-11,1577673.9474068703,50860.947406870284,1526813.0,4704.4959,0.009637697158016323
2026-03-12,1552406.9474068703,50860.947406870284,1501546.0,4687.5601,-0.016015349712486415
2026-03-13,1516832.9474068703,50860.947406870284,1465972.0,4669.14,-0.02291538314706887
2026-03-16,1523268.9474068703,50860.947406870284,1472408.0,4671.5591,0.004243051293817635
2026-03-17,1462973.9474068703,50860.947406870284,1412113.0,4637.4392,-0.039582635819264134
2026-03-18,1507056.9474068703,50860.947406870284,1456196.0,4658.3324,0.03013245729914571
2026-03-19,1505599.9474068703,50860.947406870284,1454739.0,4583.2511,-0.000966784966226375
